old_path	new_path	status
sd_card_content/ir_extra_dbs/_Converted_/CSV/C/Carver/Laser Disc	sd_card_content/ir_extra_dbs/_Converted_/CSV/C/Carver/Laser_Disc	OK
sd_card_content/ir_extra_dbs/_Converted_/CSV/S/Sanyo/Video Projector	sd_card_content/ir_extra_dbs/_Converted_/CSV/S/Sanyo/Video_Projector	OK
sd_card_content/ir_extra_dbs/_Converted_/CSV/M/Monoprice/Unknown_HDX(C)-501E	sd_card_content/ir_extra_dbs/_Converted_/CSV/M/Monoprice/Unknown_HDXC-501E	OK
sd_card_content/ir_extra_dbs/_Converted_/CSV/K/Kensington/iPod Dock	sd_card_content/ir_extra_dbs/_Converted_/CSV/K/Kensington/iPod_Dock	OK
sd_card_content/ir_extra_dbs/_Converted_/CSV/O/One_For_All/Unknown_URC-2510(12341)	sd_card_content/ir_extra_dbs/_Converted_/CSV/O/One_For_All/Unknown_URC-251012341	OK
sd_card_content/ir_extra_dbs/_Converted_/CSV/B/BnK_Components/Multi-Zone Receiver	sd_card_content/ir_extra_dbs/_Converted_/CSV/B/BnK_Components/Multi-Zone_Receiver	OK
sd_card_content/ir_extra_dbs/_Converted_/Pronto/0-9/(Generic)	sd_card_content/ir_extra_dbs/_Converted_/Pronto/0-9/Generic	OK
sd_card_content/ir_extra_dbs/_Converted_/Pronto/B/Bang_&_Olufsen	sd_card_content/ir_extra_dbs/_Converted_/Pronto/B/Bang-and-Olufsen	OK
sd_card_content/ir_extra_dbs/_Converted_/Pronto/B/B&K_Components	sd_card_content/ir_extra_dbs/_Converted_/Pronto/B/B-and-K_Components	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/E/EASY LIVING	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/E/EASY_LIVING	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/C/CRISTOR ATLAS	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/C/CRISTOR_ATLAS	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/C/CABLE MATTERS	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/C/CABLE_MATTERS	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/C/CLARKE TECH	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/C/CLARKE_TECH	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/C/CHANNEL VISION	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/C/CHANNEL_VISION	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/C/CAMBRIDGE AUDIO	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/C/CAMBRIDGE_AUDIO	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/S/STAR SAT	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/S/STAR_SAT	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/I/ID DIGITAL	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/I/ID_DIGITAL	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/A/ADVANCE ACOUSTIC	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/A/ADVANCE_ACOUSTIC	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/A/AZ AMERICA	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/A/AZ_AMERICA	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/A/AC RYAN	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/A/AC_RYAN	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/T/TATA SKY	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/T/TATA_SKY	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/T/TV SAMSUNG	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/T/TV_SAMSUNG	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/D/DIAMOND VISION	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/D/DIAMOND_VISION	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/D/DYNO JET	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/D/DYNO_JET	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/D/DK DIGITAL	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/D/DK_DIGITAL	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/W/WESTERN DIGITAL	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/W/WESTERN_DIGITAL	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/G/GOLDEN MEDIA	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/G/GOLDEN_MEDIA	OK
sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/P/PLUS AMERICA	sd_card_content/ir_extra_dbs/_Converted_/IR_Plus/P/PLUS_AMERICA	OK
